series_title,released_year,certificate,runtime,genre,imdb_rating,meta_score,gross,genre1,genre2,genre3
My Name Is Khan,2010,UA,165 min,Drama,8.0,50.0,"4,018,695",Drama,,
Nefes: Vatan Sagolsun,2009,,128 min,"Action, Drama, Thriller",8.0,,,Action,Drama,Thriller
Slumdog Millionaire,2008,UA,120 min,"Drama, Romance",8.0,84.0,"141,319,928",Drama,Romance,
Black Swan,2010,A,108 min,"Drama, Thriller",8.0,79.0,"106,954,678",Drama,Thriller,
Tropa de Elite,2007,R,115 min,"Action, Crime, Drama",8.0,33.0,"8,060",Action,Crime,Drama
The Avengers,2012,UA,143 min,"Action, Adventure, Sci-Fi",8.0,69.0,"623,279,547",Action,Adventure,Sci-Fi
Persepolis,2007,PG-13,96 min,"Animation, Biography, Drama",8.0,90.0,"4,445,756",Animation,Biography,Drama
Dallas Buyers Club,2013,R,117 min,"Biography, Drama",8.0,80.0,"27,298,285",Biography,Drama,
The Pursuit of Happyness,2006,U,117 min,"Biography, Drama",8.0,64.0,"163,566,459",Biography,Drama,
Blood Diamond,2006,A,143 min,"Adventure, Drama, Thriller",8.0,64.0,"57,366,262",Adventure,Drama,Thriller
The Bourne Ultimatum,2007,UA,115 min,"Action, Mystery, Thriller",8.0,85.0,"227,471,070",Action,Mystery,Thriller
Bin-jip,2004,U,88 min,"Crime, Drama, Romance",8.0,72.0,"238,507",Crime,Drama,Romance
